id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,series_category_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-M-DC-1999-G2-AMN-M-MEX-CUB-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-MEX-CUB-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-MEX-CUB-01,,Havana,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,CUB
1999-M-DC-1999-G2-AMN-M-PER-URU-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-PER-URU-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-PER-URU-01,,Lima,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,PER
1999-M-DC-1999-G2-AMN-REL-DOM-CRC-01,"Group II, American, Relegation Play-off",1999,M-DC-1999-G2-AMN-REL-DOM-CRC-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-REL-DOM-CRC-01,,San Jose,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,CRC
1999-M-DC-1999-G2-AMN-REL-PAR-HAI-01,"Group II, American, Relegation Play-off",1999,M-DC-1999-G2-AMN-REL-PAR-HAI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-REL-PAR-HAI-01,,Port-au-Prince,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,HAI
1999-M-DC-1999-G2-EA-M-DEN-IRL-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-DEN-IRL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-DEN-IRL-01,,Skagen,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,DEN
1999-M-DC-1999-G2-EA-M-HUN-BUL-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-HUN-BUL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-HUN-BUL-01,,Budapest,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,HUN
1999-M-DC-1999-G2-EA-M-MAR-NOR-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-MAR-NOR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-MAR-NOR-01,,Oslo,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,NOR
1999-M-DC-1999-G2-EA-M-POL-CIV-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-POL-CIV-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-POL-CIV-01,,Abidjan,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,CIV
1999-M-DC-1999-G2-EA-REL-GRE-TOG-01,"Group II, Euro/African, Relegation Play-off",1999,M-DC-1999-G2-EA-REL-GRE-TOG-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-REL-GRE-TOG-01,,Lome,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,TOG
1999-M-DC-1999-G2-EA-REL-LAT-MKD-01,"Group II, Euro/African, Relegation Play-off",1999,M-DC-1999-G2-EA-REL-LAT-MKD-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-REL-LAT-MKD-01,,Jurmala,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,LAT
1999-M-DC-1999-G2-EA-REL-SEN-SLO-01,"Group II, Euro/African, Relegation Play-off",1999,M-DC-1999-G2-EA-REL-SEN-SLO-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-REL-SEN-SLO-01,,Ljubljana,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,SLO
1999-M-DC-1999-G2-EA-REL-TUR-YUG-01,"Group II, Euro/African, Relegation Play-off",1999,M-DC-1999-G2-EA-REL-TUR-YUG-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-REL-TUR-YUG-01,,Istanbul,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,TUR
1999-M-DC-1999-WG-M-BEL-SUI-01,World Group,1999,M-DC-1999-WG-M-BEL-SUI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-BEL-SUI-01,,Brussels,,,Outdoor,Clay,dc,dc,19990716,19990718,,,,,BEL
1999-M-DC-1999-WG-M-FRA-BRA-01,World Group,1999,M-DC-1999-WG-M-FRA-BRA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-FRA-BRA-01,,Pau,,,Indoor,Carpet,dc,dc,19990716,19990718,,,,,FRA
1999-M-DC-1999-WG-M-SVK-RUS-01,World Group,1999,M-DC-1999-WG-M-SVK-RUS-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-SVK-RUS-01,,Moscow,,,Indoor,Clay,dc,dc,19990716,19990718,,,,,RUS
1999-M-DC-1999-WG-M-USA-AUS-01,World Group,1999,M-DC-1999-WG-M-USA-AUS-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-USA-AUS-01,,MA,,,Outdoor,Hard,dc,dc,19990716,19990718,,,,,USA
1999-M-DC-1999-G1-AMN-REL-VEN-BAH-01,"Group I, American, Relegation Play-off",1999,M-DC-1999-G1-AMN-REL-VEN-BAH-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AMN-REL-VEN-BAH-01,,Caracas,,,Outdoor,Hard,dc,dc,19990924,19990926,,,,,VEN
1999-M-DC-1999-G1-AO-REL-CHN-PAK-01,"Group I, Asia/Oceania, Relegation Play-off",1999,M-DC-1999-G1-AO-REL-CHN-PAK-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-AO-REL-CHN-PAK-01,,China,,,Outdoor,Hard,dc,dc,19990924,19990926,,,,,CHN
1999-M-DC-1999-G1-EA-REL-CRO-POR-01,"Group I, Euro/African, Relegation Play-off",1999,M-DC-1999-G1-EA-REL-CRO-POR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-REL-CRO-POR-01,,Zagreb,,,Indoor,Carpet,dc,dc,19990924,19990926,,,,,CRO
1999-M-DC-1999-G1-EA-REL-ISR-UKR-01,"Group I, Euro/African, Relegation Play-off",1999,M-DC-1999-G1-EA-REL-ISR-UKR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-REL-ISR-UKR-01,,Kiev,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,UKR
1999-M-DC-1999-G2-AMN-M-MEX-PER-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-MEX-PER-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-MEX-PER-01,,Lima,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,PER
1999-M-DC-1999-G2-AO-M-PHI-THA-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-PHI-THA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-PHI-THA-01,,Nonthaburi,,,Outdoor,Hard,dc,dc,19990924,19990926,,,,,THA
1999-M-DC-1999-G2-EA-M-DEN-HUN-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-DEN-HUN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-DEN-HUN-01,,Budapest,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,HUN
1999-M-DC-1999-G2-EA-M-POL-MAR-01,"Group II, Euro/African",1999,M-DC-1999-G2-EA-M-POL-MAR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-EA-M-POL-MAR-01,,Casablanca,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,MAR
1999-M-DC-1999-WG-M-FRA-BEL-01,World Group,1999,M-DC-1999-WG-M-FRA-BEL-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-FRA-BEL-01,,Pau,,,Indoor,Carpet,dc,dc,19990924,19990926,,,,,FRA
1999-M-DC-1999-WG-M-RUS-AUS-01,World Group,1999,M-DC-1999-WG-M-RUS-AUS-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-RUS-AUS-01,,QLD,,,Outdoor,Grass,dc,dc,19990924,19990926,,,,,AUS
1999-M-DC-1999-WG-QR-AUT-SWE-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-AUT-SWE-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-AUT-SWE-01,,Portschach,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,AUT
1999-M-DC-1999-WG-QR-ECU-NED-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-ECU-NED-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-ECU-NED-01,,Guayaquil,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,ECU
1999-M-DC-1999-WG-QR-GBR-RSA-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-GBR-RSA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-GBR-RSA-01,,Birmingham,,,Indoor,Hard,dc,dc,19990924,19990926,,,,,GBR
1999-M-DC-1999-WG-QR-ITA-FIN-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-ITA-FIN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-ITA-FIN-01,,Sardinia,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,ITA
1999-M-DC-1999-WG-QR-NZL-ESP-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-NZL-ESP-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-NZL-ESP-01,,Hamilton,,,Indoor,Hard,dc,dc,19990924,19990926,,,,,NZL
1999-M-DC-1999-WG-QR-ROU-GER-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-ROU-GER-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-ROU-GER-01,,Bucharest,,,Outdoor,Clay,dc,dc,19990924,19990926,,,,,ROU
1999-M-DC-1999-WG-QR-UZB-CZE-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-UZB-CZE-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-UZB-CZE-01,,Tashkent,,,Indoor,Hard,dc,dc,19990924,19990926,,,,,UZB
1999-M-DC-1999-WG-QR-ZIM-CHI-01,"World Group, Qualifying Round",1999,M-DC-1999-WG-QR-ZIM-CHI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-QR-ZIM-CHI-01,,Harare,,,Indoor,Hard,dc,dc,19990924,19990926,,,,,ZIM
1999-M-DC-1999-WG-M-AUS-FRA-01,World Group,1999,M-DC-1999-WG-M-AUS-FRA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-AUS-FRA-01,,Nice,,,Indoor,Clay,dc,dc,19991203,19991205,,,,,FRA
